commune,edifice,appellation,lien
Lunel,Église Notre-Dame Du Lac,,http://orguesfrance.com/luneleglisenotredame.html
Luneville,Église St Jacques,,http://orguesfrance.com/lunevillestjacques.html
Luxeuil-Les-Bains,Basilique St Pierre,,http://orguesfrance.com/luxeuilbasiliquestpierre.html
Lyon,Cathédrale Primatiale St Jean Baptiste,,http://orguesfrance.com/lyonprimatiale.html
Lyon,Église De L'immaculée Conception,,http://orguesfrance.com/lyonimmaculee.html
Lyon,Église Notre-Dame-Saint-Vincent,,http://orguesfrance.com/lyonndstvincent.html
Lyon,Église St François De Sales,,http://orguesfrance.com/lyonstfrancois.html
Lyon,Église St Polycarpe,,http://orguesfrance.com/lyonstpolycarpe.html
Lyon,Église St Pothin,,http://orguesfrance.com/lyonstpothin.html
Malaucene,Église St Michel,,http://orguesfrance.com/malauceneeglise.html
Manosque,Église St Sauveur,,http://orguesfrance.com/manosqueeglise.html
Mantes-La-Jolie,Collégiale Notre-Dame,Choeur,http://orguesfrance.com/manteslajolienotredamecogez.html
Mantes-La-Jolie,Collégiale Notre-Dame,G.O,http://orguesfrance.com/manteslajolienotredamemerklin.html
Marmande,Église Notre-Dame,,http://orguesfrance.com/marmandeeglise.html
Marmoutier,Église St Etienne,,http://orguesfrance.com/marmoutierstetienne.html
Maroilles,Église St Humbert,,http://orguesfrance.com/maroillessthumbert.html
Marseille,Abbaye St Victor,,http://orguesfrance.com/marseillestvictor.html
Marseille,Église De Montolivet,,http://orguesfrance.com/marseillemontolivet.html
Marseille,Église Notre-Dame Du Mont,,http://orguesfrance.com/marseillenddumont.html
Marseille,Église Ste Marguerite,,http://orguesfrance.com/marseillestemarguerite.html
Masevaux,Église St Martin,,http://orguesfrance.com/masevauxstmartingo.html
Masevaux,Église St Martin,Ancien Orgue Callinet,http://orguesfrance.com/masevauxstmartincallinet.html
Masevaux,Église St Martin,Orgue De Choeur,http://orguesfrance.com/masevauxstmartinchoeur.html
Mazamet,Église St Sauveur,,http://orguesfrance.com/mazametstsauveur.html
Meaux,Cathédrale St Etienne,,http://orguesfrance.com/meauxcathedrale.html
Mende,Basilique Cathédrale Notre-Dame Et St Privat,,http://orguesfrance.com/mendecathedrale.html
Metz,Cathédrale St Etienne,,http://orguesfrance.com/metzcathedrale.html
Meudon,Auditorium Marcel Dupré,,http://orguesfrance.com/meudonauditoriummarceldupre.html
Millau,Temple Protestant,,http://orguesfrance.com/millautemple.html
Mirande,Église Ste Marie,,http://orguesfrance.com/mirandestemarie.html
Mirepoix,Ancienne Cathédrale St Maurice,,http://orguesfrance.com/mirepoixanccathedrale.html
Mitry-Mory,Église St Martin,,http://orguesfrance.com/mitrymorystmartin.html
Moissac,Abbatiale St Pierre,,http://orguesfrance.com/moissacabbatiale.html
Monein,Église St Girons,,http://orguesfrance.com/moneineglise.html
Montauban,Cathédrale Notre-Dame,,http://orguesfrance.com/montaubancathedrale.html
Montbrison,Collégiale Notre-Dame D'espérance,,http://orguesfrance.com/montbrisoncollegiale.html
Montelimar,Collégiale Ste Croix,,http://orguesfrance.com/montelimarstecroix.html
Montpellier,Basilique Notre-Dame Des Tables,,http://orguesfrance.com/montpelliernddestables.html
Montpellier,Cathédrale St Pierre,,http://orguesfrance.com/montpelliercathedrale.html
Montpon-Menesterol,Auditorium F. Chapelet,Orgue Galicien,http://orguesfrance.com/montponauditoriuma.html
Montpon-Menesterol,Auditorium F. Chapelet,Orgue Majorquin,http://orguesfrance.com/montponauditoriumb.html
Montpon-Menesterol,Auditorium F. Chapelet,Orgue Napolitain,http://orguesfrance.com/montponauditoriumc.html
Montpon-Menesterol,Chapelle De La Chartreuse De Vauclaire,,http://orguesfrance.com/montponvauclaire.html
Montpon-Menesterol,Église N.D De L'assomption,,http://orguesfrance.com/montponnotredame.html
Montpon-Menesterol,Église St Martin,,http://orguesfrance.com/montponstmartin.html
Montpon-Menesterol,Église St Pierre-Ès-Liens,,http://orguesfrance.com/montponstpierre.html
Montreal,Collégiale St Vincent,,http://orguesfrance.com/montrealaudestvincent.html
Moret-Sur-Loing,Église Notre-Dame De La Nativité,,http://orguesfrance.com/moretsurloingnotredame.html
Moulins,Cathédrale Notre-Dame,,http://orguesfrance.com/moulinscathedrale.html
Moult,Église Ste Anne,,http://orguesfrance.com/moultsteanne.html
Nancy,Basilique Notre Dame De Lourdes,,http://orguesfrance.com/nancynddelourdes.html
Nancy,Cathédrale Notre-Dame,,http://orguesfrance.com/nancycathedrale.html
Nancy,Cathédrale Notre-Dame,Orgue De Choeur,http://orguesfrance.com/nancycathedralechoeur.html
Nancy,Église St Léon Ix,,http://orguesfrance.com/nancystleonix.html
Nancy,Église St Pierre,,http://orguesfrance.com/nancystpierre.html
Nancy,Église St Sébastien,,http://orguesfrance.com/nancystsebastien.html
Nancy,Temple Protestant,,http://orguesfrance.com/nancytemple.html
Nantes,Cathédrale St Pierre et St Paul,,http://orguesfrance.com/nantescathedrale.html
Nantes,Église Notre-Dame De Bon Port,,http://orguesfrance.com/nantesnddebonport.html
